,tweet_id,created_date,username,location,retweeted_username,content_type,mentioned_users,text,positive_sent_score,negative_sent_score,compound_sent_score
5203,1496611569467330577,Wed Feb 23 22:22:58 +0000 2022,zxcxz,,zxcxz,Tweet (self-loop),[],"Volkswagen ID. Buzz: Not Yet Launched, But Already 0-60 MPH Tested https://t.co/rh0GjPozmG #ElectricVehicles #Tesla #EV #Renewables #ClimateChange #RenewableEnergy",0.0,6.5,6.5
5218,1496608949117796356,Wed Feb 23 22:12:33 +0000 2022,Bob Sacamano,"Ekerö, Sverige",Borrum Energy Solutions,RT,['Borrum Energy Solutions'],"RT @Borrum_Energy: Read our blog to find out how the Covid-19 pandemic has affected off-grid living. 
  |
 \/
https://t.co/qy0qyRNG9E
#rene…",0.0,7.8,7.8
5220,1496608923457146881,Wed Feb 23 22:12:27 +0000 2022,Bob Sacamano,"Ekerö, Sverige","Hocutt, Inc.",RT,"['Hocutt, Inc.']","RT @HocuttInc: Tired of dealing with power outages?  Check out the Renogy LYCAN 5000.

Check out why you should invest in this system and n…",0.0,10.8,10.8
5245,1496602942648070145,Wed Feb 23 21:48:41 +0000 2022,Borrum Energy Solutions,"Kitchener, ON",Borrum Energy Solutions,Tweet (self-loop),[],"Read our blog to find out how the Covid-19 pandemic has affected off-grid living. 
  |
 \/
https://t.co/qy0qyRNG9E
#renewableenergy #sustainable #GreenEnergy #windenergy #renewable https://t.co/wKcgAXaywF",0.0,6.8,6.8
5246,1496602863035994118,Wed Feb 23 21:48:22 +0000 2022,zxcxz,,zxcxz,Tweet (self-loop),[],"Elon Musk to the SEC: ‘I didn’t start the fight, but I will finish it’ https://t.co/7ODZ0rKnOB #ElectricVehicles #Renewables #RenewableEnergy",0.0,9.1,9.1
5251,1496601427766042638,Wed Feb 23 21:42:40 +0000 2022,"Hocutt, Inc.","Dallas, Texas","Hocutt, Inc.",Tweet (self-loop),[],"Tired of dealing with power outages?  Check out the Renogy LYCAN 5000.

Check out why you should invest in this system and never be left in the dark again: https://t.co/WNx7qS2ey0  

#SolarEnergy #GreenEnergy #PositiveEnergy #EnergyProduction #RenewableEnergy https://t.co/FIVNcQ45hN",0.0,7.7,7.7
5255,1496600927960186888,Wed Feb 23 21:40:41 +0000 2022,Sol Systems,"Washington, DC",Rob Sargent,RT,"['Rob Sargent', 'Sunwealth', 'NRECA']",RT @shiftourpower: At #REplusNE Anxious to hear about equitable deployment of #SolarPower &amp; #renewableenergy @SunwealthPower @NRECANews @So…,0.0,11.1,11.1
5280,1496594154893234176,Wed Feb 23 21:13:46 +0000 2022,Rob Sargent,"Boston, MA",Rob Sargent,Tweet (self-loop),"['Sunwealth', 'NRECA', 'Sol Systems']",At #REplusNE Anxious to hear about equitable deployment of #SolarPower &amp; #renewableenergy @SunwealthPower @NRECANews @Sol_Systems https://t.co/Ioppt3hJs5,0.0,11.8,11.8
5311,1496587273923866624,Wed Feb 23 20:46:26 +0000 2022,Bitcoin Retweet Bot,,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
5316,1496585897785147394,Wed Feb 23 20:40:57 +0000 2022,Bearing Witness for Ecology etc. by Big Earth Data,New York City,Bearing Witness for Ecology etc. by Big Earth Data,Tweet (self-loop),[],Germany's #RenewableEnergy investment drive in Ukraine at risk amid tensions: EURACTIV https://t.co/OceGq64eyd,0.0,32.4,32.4
5321,1496585404295770119,Wed Feb 23 20:39:00 +0000 2022,Bluegrace_Energy,,Bluegrace_Energy,Tweet (self-loop),['Reuters'],"Subsidies for #renewableenergy are NOT responsible for increased customer bills!! In fact, energy bills are expected to fall along with #carbon emissions
https://t.co/poT7ceUkET via 
@Reuters

#EnergyTransition #NetZero https://t.co/nCF1Q8hE3n",6.7,13.9,13.9
5333,1496582674739183618,Wed Feb 23 20:28:09 +0000 2022,Renewable Energy Job,United Kingdom,Renewable Energy Job,Tweet (self-loop),[],Associate Director - Climate Risk and Decarbonisation Strategy: FS https://t.co/uk0qnDkTaq #jobs #renewableenergy,0.0,16.0,16.0
5334,1496582669471080449,Wed Feb 23 20:28:08 +0000 2022,Renewable Energy Job,United Kingdom,Renewable Energy Job,Tweet (self-loop),[],ESG Specialist (Climate Risk - Frameworks) Senior Manager https://t.co/hqqb7uRRVs #jobs #renewableenergy,0.0,17.4,17.4
5335,1496582653813743616,Wed Feb 23 20:28:04 +0000 2022,Renewable Energy Job,United Kingdom,Renewable Energy Job,Tweet (self-loop),[],Manager - Climate Risk &amp; Decarbonisation Strategy https://t.co/FwdGUFY1K9 #jobs #renewableenergy,0.0,18.9,18.9
5337,1496582175680040962,Wed Feb 23 20:26:10 +0000 2022,jamey heinze,ATX,jamey heinze,Tweet (self-loop),"['Blades', 'EDP Renewables', 'Invenergy']",#renewableenergy providers should be combining inspection data from both #SolarPower and #windpower.  The merging and analysis of the data is hard.  But platforms do exist.  @BladesUSA @huvrdata @EdpRenewables @InvenergyLLC,0.0,4.1,4.1
5368,1496576906615046145,Wed Feb 23 20:05:14 +0000 2022,Henrik,Germany,Henrik,Tweet (self-loop),['The Washington Post'],"@washingtonpost The one small silver lining in all of this mess.

#renewables 
#renewableenergy 
#RussiaUkraineConflict",0.0,18.1,18.1
5392,1496570755928277018,Wed Feb 23 19:40:47 +0000 2022,zxcxz,,zxcxz,Tweet (self-loop),[],Tesla loses Director of Engineering to generator giant looking to compete with Powerwall https://t.co/oxMD904BDe #ElectricVehicles #Renewables #RenewableEnergy,0.0,12.6,12.6
5399,1496569804546879496,Wed Feb 23 19:37:00 +0000 2022,HyperionSearch,"Liverpool, Munich,Jacksonville",HyperionSearch,Tweet (self-loop),['Interesting Engineering'],"@IntEngineering claims that Concentrated Solar Power (CPS) has the potential to lower the cost of #renewableenergy.

It uses an array of mirrors to direct #sunlight into collection towers that store energy in the form of heat in sand, rocks or molten salt.
https://t.co/9KXdm3BOL7",4.6,4.9,4.9
5411,1496568202851143680,Wed Feb 23 19:30:39 +0000 2022,Johnny ⚡️ Daniels ⚛️ 🇺🇸🇺🇦,Donate to the Ukranian Army,Ed Young,RT,['Ed Young'],RT @edyoung4florida: #SolarEnergy is under attack again! Despite 84% of Floridians support net metering Tallahassee is trying hurt #solar e…,10.2,25.6,25.6
5418,1496566288650493957,Wed Feb 23 19:23:02 +0000 2022,ML Lister Santavy,"Rondeau, ON, CA",Enbridge Gas,RT,['Enbridge Gas'],RT @enbridgegas: The renewable natural gas boom is coming and we’re on board! Learn how we’re turning waste into fuel and how you can help…,8.7,10.8,10.8
5420,1496565598796582914,Wed Feb 23 19:20:18 +0000 2022,Tramikatodor,"here, there, and everywhere",Nat Simons,RT,['Nat Simons'],"RT @natsimons1: A new study for anyone who's still skeptical about the reliability of #renewableenergy 

#windpower #SolarPower #solarenerg…",0.0,11.9,11.9
5426,1496563876783017984,Wed Feb 23 19:13:27 +0000 2022,energyreferral.xyz,,Nat Simons,RT,['Nat Simons'],"RT @natsimons1: A new study for anyone who's still skeptical about the reliability of #renewableenergy 

#windpower #SolarPower #solarenerg…",0.0,11.9,11.9
5429,1496563821116338238,Wed Feb 23 19:13:14 +0000 2022,energyreferral.xyz,,Climate Change,RT,['Climate Change'],"RT @TRVST_ClimateC: Big oil all talk, no action on climate change? Researchers say they've got the proof - ABC News #renewableenergy  https…",0.0,9.5,9.5
5434,1496563614622363657,Wed Feb 23 19:12:25 +0000 2022,Nat Simons,United States,Nat Simons,Tweet (self-loop),[],"A new study for anyone who's still skeptical about the reliability of #renewableenergy 

#windpower #SolarPower #solarenergy #windenergy https://t.co/0O5O8eI6Rf",0.0,11.9,11.9
5436,1496563599824891909,Wed Feb 23 19:12:21 +0000 2022,John Snowmountainer,,Climate Change,RT,['Climate Change'],"RT @TRVST_ClimateC: Big oil all talk, no action on climate change? Researchers say they've got the proof - ABC News #renewableenergy  https…",0.0,9.5,9.5
5446,1496561824506032130,Wed Feb 23 19:05:18 +0000 2022,Climate Change,,Climate Change,Tweet (self-loop),[],"Big oil all talk, no action on climate change? Researchers say they've got the proof - ABC News #renewableenergy  https://t.co/gPnBkCwtf6",0.0,10.4,10.4
5462,1496558199851433990,Wed Feb 23 18:50:54 +0000 2022,zxcxz,,zxcxz,Tweet (self-loop),[],“Spreading Like Wildfire”  — UN Report Predicts Extreme Global Fire Risks https://t.co/AESRGQqRWV #Tesla #EV #ClimateChange #Renewables #RenewableEnergy,11.6,23.4,23.4
5471,1496555439982800897,Wed Feb 23 18:39:56 +0000 2022,alpinelad,Third Rock from the Sun,SLX Learning,RT,['SLX Learning'],"RT @slxlearning: To meet the world's #electricity demand, we only need to cover 50% of our rooftops with #SolarPanels! That sounds straight…",0.0,7.9,7.9
5502,1496547379302084614,Wed Feb 23 18:07:54 +0000 2022,Andreas Antoniou,,Georgia Savvidou (She/her),RT,['Georgia Savvidou (She/her)'],RT @geo_savvidou: “The only obstacle here isn't technological at this point; it's political. We just need policies that speed up this trans…,0.0,10.6,10.6
5570,1496535324356329472,Wed Feb 23 17:20:00 +0000 2022,Ixum Radix (pro-earth/ anti-nihilist),England,Ixum Radix (pro-earth/ anti-nihilist),Tweet (self-loop),[],"~ but not before wasting ~€10 Billion of customers' payments on it! 

Those €10 Billion could have been utilised to build now desperately needed electricity-backup-systems in Europe!

(#Europe , #Putin #Russian #gas #energycrisis  versus #renewableenergy &amp; #storage #Systems 
👇 https://t.co/Evf1FlIeoR",6.0,8.3,8.3
5577,1496534564759556104,Wed Feb 23 17:16:59 +0000 2022,🇺🇳 #UN 🇺🇳 #SDGs 🌏 #ClimateAction 🌐 #ActNow,MIT Earth & Atmospher & 🇺🇳 ,🇺🇳 #UN 🇺🇳 #SDGs 🌏 #ClimateAction 🌐 #ActNow,Tweet (self-loop),"['World Meteorological Organization', 'UN Environment Programme', 'GRID-Arendal', '🇪🇺 DG DEFIS #StrongerTogether', 'SMN Argentina']","@WMO @UNEP @GRIDArendal @defis_eu @SMN_Argentina STOP #GlobalWarming      ⚠️🔥🌐
USE    #RenewableEnergy 🌐☀️🦋

#Climatechange is making #wildfires more frequent and intense, says new report by @UNEP
 and @GRIDArendal 
 via @WMO",3.9,13.4,13.4
5603,1496532723816615940,Wed Feb 23 17:09:40 +0000 2022,Geraint Ellis,,Elizabeth Côté,RT,['Elizabeth Côté'],RT @ElizabethCote_: How do different #renewableenergy #auction designs aimed at fostering #citizenparticipation influence the risk percepti…,0.0,12.3,12.3
5611,1496531728759939083,Wed Feb 23 17:05:43 +0000 2022,zxcxz,,zxcxz,Tweet (self-loop),[],Tesla settles with the EPA over Clean Air Act violations https://t.co/0cPkJHGx7x #EVNews #ElectricVehicles #Renewables #RenewableEnergy,14.1,17.8,17.8
5618,1496529568047505411,Wed Feb 23 16:57:07 +0000 2022,NexaAdvisory,"Melbourne, Australia",NexaAdvisory,Tweet (self-loop),[],The power struggle over Australia’s dirtiest energy company https://t.co/MsqgKKcTzI #renewableenergy #cleanenergytransition,13.3,36.1,36.1
5636,1496526032551174151,Wed Feb 23 16:43:04 +0000 2022,Solar Masons,"Scranton, PA",Solar Masons,Tweet (self-loop),['The Conversation'],"In heatwave conditions, Tasmania’s tall eucalypt forests no longer absorb carbon https://t.co/PTZzMj7ipt via @conversationedu #SolarEnergy #SolarPV #SolarMasons #RenewableEnergy",0.0,11.5,11.5
5669,1496520638588194816,Wed Feb 23 16:21:38 +0000 2022,MISTRAL-ITN,Europe,Elizabeth Côté,RT,['Elizabeth Côté'],RT @ElizabethCote_: How do different #renewableenergy #auction designs aimed at fostering #citizenparticipation influence the risk percepti…,0.0,12.3,12.3
5670,1496520449429233672,Wed Feb 23 16:20:53 +0000 2022,Corrado Topi,Inbetween EU and Asia ..,IL Green Building,RT,"['IL Green Building', 'WomenInCleantech']","RT @ILgreenbuilding: Averting a Solar and Storage #Waste Crisis, Online 2/24, 9am PST / 12 EST: https://t.co/uPkb3tvXqX @WomenCleantech @li…",0.0,28.9,28.9
5677,1496519973329588232,Wed Feb 23 16:19:00 +0000 2022,One Planet,,IL Green Building,RT,"['IL Green Building', 'WomenInCleantech']","RT @ILgreenbuilding: Averting a Solar and Storage #Waste Crisis, Online 2/24, 9am PST / 12 EST: https://t.co/uPkb3tvXqX @WomenCleantech @li…",0.0,28.9,28.9
5679,1496519588275707906,Wed Feb 23 16:17:28 +0000 2022,renewables,,zxcxz,RT,['zxcxz'],RT @Zxcxz_xyz: Tesla vehicles with 3G modems are starting to lose connectivity as the networks are shutting down https://t.co/3ZqOMCd2ur #E…,0.0,12.4,12.4
5684,1496519043037155332,Wed Feb 23 16:15:18 +0000 2022,zxcxz,,zxcxz,Tweet (self-loop),[],Tesla vehicles with 3G modems are starting to lose connectivity as the networks are shutting down https://t.co/3ZqOMCd2ur #ElectricVehicles #Renewables #RenewableEnergy,0.0,12.4,12.4
5691,1496518556615385093,Wed Feb 23 16:13:22 +0000 2022,energyreferral.xyz,,IL Green Building,RT,"['IL Green Building', 'WomenInCleantech']","RT @ILgreenbuilding: Averting a Solar and Storage #Waste Crisis, Online 2/24, 9am PST / 12 EST: https://t.co/uPkb3tvXqX @WomenCleantech @li…",0.0,28.9,28.9
5701,1496518325962264577,Wed Feb 23 16:12:27 +0000 2022,John Snowmountainer,,IL Green Building,RT,"['IL Green Building', 'WomenInCleantech']","RT @ILgreenbuilding: Averting a Solar and Storage #Waste Crisis, Online 2/24, 9am PST / 12 EST: https://t.co/uPkb3tvXqX @WomenCleantech @li…",0.0,28.9,28.9
5702,1496518312452366342,Wed Feb 23 16:12:24 +0000 2022,SDGs,Everywhere,IL Green Building,RT,"['IL Green Building', 'WomenInCleantech']","RT @ILgreenbuilding: Averting a Solar and Storage #Waste Crisis, Online 2/24, 9am PST / 12 EST: https://t.co/uPkb3tvXqX @WomenCleantech @li…",0.0,28.9,28.9
5712,1496517973930123270,Wed Feb 23 16:11:03 +0000 2022,IL Green Building,"Illinois, USA",IL Green Building,Tweet (self-loop),"['WomenInCleantech', 'Li-Cycle®']","Averting a Solar and Storage #Waste Crisis, Online 2/24, 9am PST / 12 EST: https://t.co/uPkb3tvXqX @WomenCleantech @li_cycle #solar #energystorage #energy #renewableenergy #SDGs #emissions Let's divert millions of tons of #ewaste! #cleantech #recycling #recycling #circulareconomy https://t.co/Beukf1LXZB",5.1,17.4,17.4
5736,1496515347415027729,Wed Feb 23 16:00:37 +0000 2022,Indiana Environmental Reporter,"Indiana, USA",Indiana Environmental Reporter,Tweet (self-loop),[],"A bill that sought to incentivize the spread of commercial renewable energy systems in #Indiana has moved forward in the Indiana Legislature, but without the incentives.

https://t.co/mMGBThnS6s

#Hoosiers #iereporter #environmentalnews #renewableenergy https://t.co/HOHictB3vK",4.6,7.2,7.2
5751,1496512879843069958,Wed Feb 23 15:50:49 +0000 2022,Havenhill Synergy Limited,Nigeria,Havenhill Synergy Limited,Tweet (self-loop),[],"“There is no organization without the people…”
Thanks to the #PeopleofHavenhill, here are a few memories from the past 12 years!

#Havenhillat12 #EnergyAccess #RenewableEnergy #SDG7 #AnniversaryCelebration #Feb23 https://t.co/hWOiJrvmjg",0.0,15.9,15.9
5762,1496511428253167620,Wed Feb 23 15:45:02 +0000 2022,MO Green Building,,MO Green Building,Tweet (self-loop),"['WomenInCleantech', 'Li-Cycle®']","Averting a Solar and Storage #Waste Crisis, Online 2/24, 9am PST / 12 EST: https://t.co/X598SCdXBg @WomenCleantech @li_cycle #solar #energystorage #energy #renewableenergy #SDGs #emissions Let's divert millions of tons of #ewaste! #cleantech #recycling #recycling #circulareconomy https://t.co/goMSRgqEl4",5.1,17.4,17.4
5854,1496500856178581505,Wed Feb 23 15:03:02 +0000 2022,Eneti Inc.,Monaco,Eneti Inc.,Tweet (self-loop),['Eneti Inc.'],@Eneti_Inc 4Q 2021 Results #Presentation is now available on the Company's website 👉https://t.co/fCxAOOSRqD #RenewableEnergy #offshorewind #environment #earnings #financenews https://t.co/yCRb8pw9PR,0.0,18.7,18.7
5868,1496499209977094145,Wed Feb 23 14:56:29 +0000 2022,janeeeey ✨,,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
5880,1496496438427406337,Wed Feb 23 14:45:29 +0000 2022,KB,KOLKATA,"🧬 Dr. Namrata Datta, PhD🧫 🇬🇧🇮🇳",RT,"['🧬 Dr. Namrata Datta, PhD🧫 🇬🇧🇮🇳']","RT @DrDatta01: #conserve forest, allocate funds for #renewableenergy , stop grabbing #Adivasi land, stop #polluting the #enviroment , take…",0.0,20.6,20.6
5899,1496493330510884867,Wed Feb 23 14:33:08 +0000 2022,Energy Live News,London,Energy Live News,Tweet (self-loop),['Angus Taylor MP'],"Australia and India to collaborate on low emission technologies. 

@AngusTaylorMP

#Australia #cleanhydrogen #India #lowemission #Renewableenergy #solarpower #netzero 

https://t.co/O2cKrCG9PD",0.0,11.0,11.0
5910,1496491743574908935,Wed Feb 23 14:26:49 +0000 2022,A Coffee with Technology,,SMBs Digital Fitness,RT,['SMBs Digital Fitness'],RT @SmbsF: What can companies do to accelerate the shift to renewable energy? Here are five ways they can combat climate change and improve…,7.9,9.1,9.1
5916,1496490759729651717,Wed Feb 23 14:22:55 +0000 2022,Sabira Ize Aduku,,ThisIsRydwanTuff,RT,['ThisIsRydwanTuff'],"RT @rydwan_tuff: DYK that for a region with a population of over 342 million, 271 million have no access to #cleancooking technology &amp; fuel…",0.0,8.7,8.7
5922,1496490525179977733,Wed Feb 23 14:21:59 +0000 2022,zxcxz,,zxcxz,Tweet (self-loop),[],State Farm Files $1.27 Million Claim Against Tesla For House Fire https://t.co/Pz5jNRcLWO #ElectricVehicles #Tesla #EV #Renewables #ClimateChange #RenewableEnergy,0.0,12.4,12.4
5939,1496489269514620930,Wed Feb 23 14:16:59 +0000 2022,News Weekly,Australia,News Weekly,Tweet (self-loop),[],"""As #Europe pushes hard towards the goal of #netzero #emissions, the plan is being threatened by soaring #power prices and a shortage of #fossilfuels.""
https://t.co/0QWF5gzWux
#energy #electricity #news #renewableenergy #environment #economy #greenenergy #coal #EU #EuropeanUnion",5.3,16.2,16.2
5955,1496488271777615877,Wed Feb 23 14:13:02 +0000 2022,DomainApeBot,Vienna,BogdanAndrei-bogdins,RT,['BogdanAndrei-bogdins'],"RT @Domaintikon: No matter if onshore or #offshore wind farms are #daily  presence

https://t.co/foqtl5dDrI
https://t.co/9cuTORS1xn

new #D…",0.0,6.3,6.3
5966,1496488007460925443,Wed Feb 23 14:11:59 +0000 2022,John Snowmountainer,,BogdanAndrei-bogdins,RT,['BogdanAndrei-bogdins'],"RT @Domaintikon: No matter if onshore or #offshore wind farms are #daily  presence

https://t.co/foqtl5dDrI
https://t.co/9cuTORS1xn

new #D…",0.0,6.3,6.3
5971,1496486701333635073,Wed Feb 23 14:06:47 +0000 2022,BogdanAndrei-bogdins,European citizen,BogdanAndrei-bogdins,Tweet (self-loop),"['American Renewable Energy', 'ACCIONA (English)', 'GE Renewable Energy', 'IRENA', 'Australian Renewable Energy Agency', 'RenewableEnergyWorld']","No matter if onshore or #offshore wind farms are #daily  presence

https://t.co/foqtl5dDrI
https://t.co/9cuTORS1xn

new #Domains #domainsforsale #domainnamesforsale 
#premiumdomains #PremiumDomain 
#renewableenergy 
@ACORE 
@ACCIONA_EN 
@GErenewables 
@IRENA 
@ARENA_aus 
@REWorld https://t.co/QuzsqE46pj",0.0,4.0,4.0
6051,1496473210065498113,Wed Feb 23 13:13:11 +0000 2022,energyreferral.xyz,,zxcxz,RT,['zxcxz'],"RT @Zxcxz_xyz: Kia EV6 Comes With 1,000 kWh Of Complimentary EV Charging https://t.co/dwX7P9qLxb #ElectricVehicles #Tesla #EV #Renewables #…",12.6,18.2,18.2
6058,1496472981983440903,Wed Feb 23 13:12:16 +0000 2022,John Snowmountainer,,zxcxz,RT,['zxcxz'],"RT @Zxcxz_xyz: Kia EV6 Comes With 1,000 kWh Of Complimentary EV Charging https://t.co/dwX7P9qLxb #ElectricVehicles #Tesla #EV #Renewables #…",12.6,18.2,18.2
6066,1496471479218753540,Wed Feb 23 13:06:18 +0000 2022,zxcxz,,zxcxz,Tweet (self-loop),[],"Kia EV6 Comes With 1,000 kWh Of Complimentary EV Charging https://t.co/dwX7P9qLxb #ElectricVehicles #Tesla #EV #Renewables #ClimateChange #RenewableEnergy",13.1,19.0,19.0
6068,1496471360779997185,Wed Feb 23 13:05:50 +0000 2022,Nand & Nor,Social networks,SMBs Digital Fitness,RT,['SMBs Digital Fitness'],RT @SmbsF: What can companies do to accelerate the shift to renewable energy? Here are five ways they can combat climate change and improve…,7.9,9.1,9.1
6085,1496468897465352194,Wed Feb 23 12:56:02 +0000 2022,SLX Learning,Switzerland,SLX Learning,Tweet (self-loop),[],"To meet the world's #electricity demand, we only need to cover 50% of our rooftops with #SolarPanels! That sounds straightforward, can we make it happen?
#RooftopSloar #RenewableEnergy #Sustainability #CleanEnergy SolarPanels #solarpower #solarenergy #SolarRooftop #SLX #slxvideo https://t.co/F1tm01aKWd",0.0,4.9,4.9
6095,1496467752890118155,Wed Feb 23 12:51:29 +0000 2022,zxcxz,,zxcxz,Tweet (self-loop),[],780 HP Lamborghini Aventador Is No Match For A Tesla Plaid https://t.co/AbXwaPpami #ElectricVehicles #Tesla #EV #Renewables #ClimateChange #RenewableEnergy,0.0,11.5,11.5
6102,1496467452967989255,Wed Feb 23 12:50:18 +0000 2022,Lea Dutton,,Twenty Now,RT,['Twenty Now'],"RT @realTwentyNow: Find out more about the #sustainability trends of recent years 👇

#twentynow #circulareconomy #greenwashing #renewableen…",0.0,6.9,6.9
6113,1496465229043187716,Wed Feb 23 12:41:28 +0000 2022,Servettinvest,Krogen,Mr.Graphite,RT,['Mr.Graphite'],"RT @MrGraphite2: Graphite Shortage Concerns Lead to Product Supply Race.

#graphite $MRC #Norway $SYR #Mozambique $RNU #Australia #batterie…",0.0,10.5,10.5
6139,1496462641031749638,Wed Feb 23 12:31:11 +0000 2022,Maia Energy,UK,Maia Energy,Tweet (self-loop),[],"Not all #hydrogen is equal:black/brown or grey H2 is environmentally damaging with uncaptured CO2,the former from coal &amp; the latter from gas. Blue H2 is created from gas with 80-90% carbon capture &amp; green H2 is produced using zero emission #renewableenergy https://t.co/M2MfhvUG5J",7.0,7.3,7.3
6168,1496458463454638081,Wed Feb 23 12:14:35 +0000 2022,Taizun Tapia,,SMBs Digital Fitness,RT,['SMBs Digital Fitness'],RT @SmbsF: What can companies do to accelerate the shift to renewable energy? Here are five ways they can combat climate change and improve…,7.9,9.1,9.1
6218,1496451332068282373,Wed Feb 23 11:46:14 +0000 2022,Twenty Now,,Twenty Now,Tweet (self-loop),[],"Find out more about the #sustainability trends of recent years 👇

#twentynow #circulareconomy #greenwashing #renewableenergy #sharingeconomy #plastic #humanrights #foodwaste #sdgs #esg #csr #environment #social #trends #climatechange #socialimpact

https://t.co/HOt25EkRIy",0.0,4.5,4.5
6222,1496451027863846913,Wed Feb 23 11:45:02 +0000 2022,ghosment🌿☘️,,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
6231,1496449605894131717,Wed Feb 23 11:39:23 +0000 2022,Solar Home Ireland,"Wexford, Ireland",Solar Home Ireland,Tweet (self-loop),[],"This never gets old 😎☀️👇

In February we predict the #SolarPV + #battery will deliver 15 kWh/day with extra demand being met by our seasonal #energy storage 🌍

#RenewableEnergy #Ireland #ClimateAction #EnergyTransition #24hoursofsun #offgrid #SOLAR #DontLookUp https://t.co/gBHjPVkpXo",4.2,7.9,7.9
6245,1496445178915266560,Wed Feb 23 11:21:47 +0000 2022,Digital News Stream,United States,SMBs Digital Fitness,RT,['SMBs Digital Fitness'],RT @SmbsF: What can companies do to accelerate the shift to renewable energy? Here are five ways they can combat climate change and improve…,7.9,9.1,9.1
6282,1496441406935953411,Wed Feb 23 11:06:48 +0000 2022,Sakura,,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
6334,1496431777996587014,Wed Feb 23 10:28:32 +0000 2022,Modern Energy Cooking Services,"Loughborough, England",NextBillion,RT,['NextBillion'],RT @NextBillion: Failing to Learn from Failure is Undermining #EnergyAccess: Why the Lack of Transparent Discussion is Putting #SDG7 at Ris…,0.0,40.1,40.1
6342,1496430177425178625,Wed Feb 23 10:22:11 +0000 2022,pengenbangetbigwin,,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
6358,1496428237794123781,Wed Feb 23 10:14:28 +0000 2022,Winwinwin,,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
6370,1496427827637493763,Wed Feb 23 10:12:51 +0000 2022,energyreferral.xyz,,Solar Head of State,RT,['Solar Head of State'],"RT @SolarHeadofST: ""A critical element of the transition is to reduce our use of fossil fuels. Fossil fuels are expensive and environmental…",0.0,9.9,9.9
6372,1496427760507576321,Wed Feb 23 10:12:35 +0000 2022,reNEWS,UK,reNEWS,Tweet (self-loop),['Fred. Olsen Windcarrier'],"@FOWindcarrier has put its planned flotation on the Oslo Stock Exchange on hold as it says market conditions have been severely impacted, not at least by geopolitical tensions. https://t.co/GGUa3ht4iD #offshorewind #flotation #renewableenergy https://t.co/ILnm7agaap",0.0,15.5,15.5
6379,1496427609852461056,Wed Feb 23 10:11:59 +0000 2022,John Snowmountainer,,Solar Head of State,RT,['Solar Head of State'],"RT @SolarHeadofST: ""A critical element of the transition is to reduce our use of fossil fuels. Fossil fuels are expensive and environmental…",0.0,9.9,9.9
6389,1496426435833397251,Wed Feb 23 10:07:19 +0000 2022,Techeco Waste Management,,Techeco Waste Management,Tweet (self-loop),[],"Techeco is a state-of-the-art recycling facility in Nashik, Maharashtra, where it uses its proprietary clean technology to recover reusable resources from electronic waste in an eco-friendly manner. 
To know more call us on: +91-8591403342
#renewableenergy #reducereuserecycle https://t.co/vjtpK7Mhjg",6.7,6.9,6.9
6391,1496426356007227393,Wed Feb 23 10:07:00 +0000 2022,Solar Head of State,"Oakland, CA",Solar Head of State,Tweet (self-loop),[],"""A critical element of the transition is to reduce our use of fossil fuels. Fossil fuels are expensive and environmentally destructive.""

https://t.co/kuCA8wdhfU

#FossilFuels #RenewableEnergy",0.0,22.3,22.3
6418,1496422632102715393,Wed Feb 23 09:52:12 +0000 2022,patriziacavaliere.eth,"London, England",patriziacavaliere.eth,Tweet (self-loop),[],"Since we all will be living with those energy producing windmills, why are they all so boring in white and not painted in rainbow colours? #renewableenergy #Renewables #windmills #EnergyTransition",6.5,9.3,9.3
